Ticker , Date,open,close, Volume, High, Low, PercentageChange
DXCM, 2020-04-26,423.95,3.87,62568062,58,56.25,1.653899721
DLTR, 2020-04-27,146.48,6.56,80501820,57.35,55.3,2.88663401
EA, 2020-04-28,127.84,-1.42,110800859,54.86,52.74,1.595452045
EBAY, 2020-04-29,54.42,-0.67,65543944,54.29,52.03,1.946472019
EXC, 2020-04-30,43.13,0.37,68862656,51.95,49.09,2.330135109
FAST, 2020-05-03,53.15,0.58,62590077,52.61,49.73,5.510388437
FB, 2020-05-04,202.97,-5.14,56560532,53.51,51.29,2.320793562
FISV, 2020-05-05,98.63,-0.11,48138123,53.31,51.88,0.495993895
FTNT, 2020-05-06,336.35,-8.46,48956641,52.9666,51.62,1.851501984
GILD, 2020-05-07,61.71,0.47,40774186,53.27,51.81,1.994247363
GOOG, 2020-05-10,2,686.16,68745090,55.89,52.75,5.368620038
GOOGL, 2020-05-11,2,677.99,55631098,56.58,53.75,4.352699421
HON, 2020-05-12,187.52,1.08,76824714,55.22,51.295,3.441894893
ILMN, 2020-05-13,331.95,1.76,73796749,54.54,51.61,4.62571977
INTC, 2020-05-14,47.93,-0.94,66950863,54.435,52.86,1.650412603
INTU, 2020-05-17,472.7,-13.3,48676913,55.25,54.24,0.709348854
ISRG, 2020-05-18,299.82,0.81,60388543,56.73,54.36,1.985659129
MRVL, 2020-05-19,65.2,-2.47,50888191,56.98,55.625,0.282935455
IDXX, 2020-05-20,538.52,-1.45,48496114,56.72,54.61,3.581510233
JD, 2020-05-21,67.83,-3.96,43524110,55.3748,53.78,0.730326821
KDP, 2020-05-25,38.61,UNCH,51617378,56.08,53.02,5.034815212
KLAC, 2020-05-26,342.53,-3.54,102414387,53.28,49.09,0.994931481
KHC, 2020-05-27,39.95,0.88,53743966,53.54,51.25,0.976076555
LRCX, 2020-05-28,543.51,-10.51,64948312,53.8,51.85,3.322450547
LCID, 2020-05-31,22.63,-1.95,36948719,54.11,52.89,0.600262615
LULU, 2020-06-01,322.84,-7.23,42855210,53.57,52.01,0.168381665
MELI, 2020-06-02,1,96.76,46765332,53.65,52.33,1.616710046
MAR, 2020-06-03,165.47,-2.76,44869090,53.74,52.2,0.076060087
MTCH, 2020-06-04,102.99,-6.24,53907973,53.57,52.08,0.207586337
MCHP, 2020-06-07,69.04,-0.7,39679149,53.35,52.26,0.619136961
MDLZ, 2020-06-08,64.91,0.21,79919140,56.46,52.72,6.497298379
MRNA, 2020-06-09,141.52,-6.34,78718310,59,57.03,0.41958042
MNST, 2020-06-10,83.35,-0.4,78714762,56.68,52.8,5.559528066
MSFT, 2020-06-11,295.92,-4.27,71188070,55.6,52.11,2.744955463
MU, 2020-06-14,89.18,-4.12,56738673,54.73,52.4128,3.993914036
NFLX, 2020-06-15,368.07,-11.96,50949045,56.07,53.59,2.261306533
NTES, 2020-06-16,86.54,-5.84,45146545,55.82,54.3,0.438036138
NVDA, 2020-06-17,237.14,-5.06,40354724,55.1225,53.65,1.061882094
NXPI, 2020-06-18,184.7,-3.65,52801461,55.455,53.815,0.33082154
OKTA, 2020-06-21,167.98,-14.72,44704781,55.17,53.74,0.164624108
ODFL, 2020-06-22,324.45,6.48,48089011,55.37,53.87,1.925522252
ORLY, 2020-06-23,684.19,8.32,53535548,54.74,51.92,2.873563218
PCAR, 2020-06-24,91.66,0.02,51129614,52.7,50.54,1.198630137
PANW, 2020-06-25,573.41,-8.65,65485729,51.95,49.45,3.37512054
PAYX, 2020-06-28,120.42,0.04,49905313,50.28,48.42,0.259222333
PDD, 2020-06-29,45.22,-3.55,42275739,52.77,50.82,2.834245504
PYPL, 2020-06-30,101.34,-5.27,32370945,52.87,51.6,0.09500285
PEP, 2020-07-01,163.27,-0.17,29081425,53.19,52.0508,1.307664024
QCOM, 2020-07-05,165.35,-3.9,36734061,53.52,52.33,0.945179584
REGN, 2020-07-06,611.15,-5.72,32151169,54.17,52.86,0.656906907
ROST, 2020-07-07,93.53,-1.47,35608338,53.47,52.07,0.792303339
SIRI, 2020-07-08,6.18,0.03,87216264,57.58,53.31,6.978699552
SGEN, 2020-07-09,126.84,0.16,59839688,58.15,55.51,2.8849496
SPLK, 2020-07-12,121.83,6.91,57741821,58.35,53.38,5.451658433
SWKS, 2020-07-13,136.86,0.04,54890110,54.86,52.26,2.664165103
SBUX, 2020-07-14,91.53,-1.24,42359979,55.37,53.59,0.691411936
SNPS, 2020-07-15,308.84,-6.48,36887082,55.15,53.74,0.438917337
TSLA, 2020-07-16,839.29,-40.6,34710407,55.81,54.68,0.488157657
TXN, 2020-07-19,171,0.9,45034250,57.53,54.83,4.037660692
TMUS, 2020-07-20,123.92,-1.69,44800687,58.5,56.3173,1.392613096
VRSN, 2020-07-21,218.73,0.88,135159420,62,56.97,8.270544945
VRSK, 2020-07-22,182.68,0.95,106829109,62.33,58.6342,3.34252799
VRTX, 2020-07-23,235.69,1.58,205312681,69.94,64.05,8.133374883
WBA, 2020-07-26,46.72,0.57,107916575,71.63,67.79,0.447459584
WDAY, 2020-07-27,245.37,-3.02,94181374,69.8,67.02,0.719530103
XEL, 2020-07-28,69.13,1.57,132969679,77.19,73.9,0.781456954
ZM, 2020-07-29,113.11,-8.5,80286888,78.96,75.07,3.754809606
ZS, 2020-07-30,242.03,-12.38,71675667,78.96,75.36,1.576204398
, 2020-08-02,,,42628144,78.5,77.06,0.665046681
, 2020-08-03,,,155676106,85.805,77.99,8.983724209
, 2020-08-04,,,65737306,86.32,83.32,0.411958569
, 2020-08-05,,,53961739,86.98,84.7801,1.427067493
, 2020-08-06,,,66543157,87.29,82.6702,2.099919234
, 2020-08-09,,,70536143,85.16,79.3221,3.303938859
, 2020-08-10,,,77877661,80.71,76.1,4.745384711
, 2020-08-11,,,88607829,82.88,77.55,5.329593268
, 2020-08-12,,,57407355,84.02,81.54,1.254826255
, 2020-08-13,,,42389477,83.24,80.88,0.623395673
, 2020-08-16,,,31300155,83.06,81.552,0.401997807
, 2020-08-17,,,30970483,82.88,81.03,1.376811594
, 2020-08-18,,,37507391,81.85,80.45,0.838513152
, 2020-08-19,,,42948860,82.84,79.12,3.799849511
, 2020-08-20,,,48280318,84.41,82.23,0.624324649
, 2020-08-23,,,38035068,85.33,82.55,1.738616203
, 2020-08-24,,,49234399,86.62,82.35,3.586852207
, 2020-08-25,,,47157273,87.72,85.2,1.091648327
, 2020-08-26,,,42194222,86.58,82.94,2.953097858
, 2020-08-27,,,40723268,86.04,84.19,1.482799526
, 2020-08-30,,,90655945,92.64,85.05,6.784244562
, 2020-08-31,,,56102560,92.51,90.1899,0.282854656
, 2020-09-01,,,50365918,94.28,88.74,4.031486012
, 2020-09-02,,,87462287,88.47,81.59,6.033697632
, 2020-09-03,,,82267760,84.39,76.33,0.687538367
, 2020-09-07,,,54954472,81.88,78,0.819987188
, 2020-09-08,,,53987878,82.44,79.28,0.626535627
, 2020-09-09,,,51448396,83.31,78.38,4.923558445
, 2020-09-10,,,54737990,79.99,75.04,4.359809572
, 2020-09-13,,,47448681,78.82,76.26,1.432291667
, 2020-09-14,,,57874428,80.33,75.97,1.635333505
, 2020-09-15,,,38445668,79.72,76.54,3.390044108
, 2020-09-16,,,55618800,76.625,74.2,2.230235043
, 2020-09-17,,,51082857,77.4,73.85,2.688311688
, 2020-09-20,,,61280970,77.98,73.88,4.997979254
, 2020-09-21,,,56044742,78.79,75.27,0.848593122
, 2020-09-22,,,42155514,77.91,74.34,3.437136581
, 2020-09-23,,,57540926,77.25,73.9,1.717198819
, 2020-09-24,,,48206242,78.2,74.67,2.23313687
, 2020-09-27,,,48005488,79.57,77.52,0.45944904
, 2020-09-28,,,61632172,82.55,79.3,3.114754098
, 2020-09-29,,,51532664,82.94,80.66,0.293577982
, 2020-09-30,,,52177123,85.25,82.86,2.167108115
, 2020-10-01,,,52853453,84.65,81.66,0.944538629
, 2020-10-04,,,47056522,86.2819,82.55,4.360993337
, 2020-10-05,,,52725432,87.25,83.54,2.006727758
, 2020-10-06,,,43045723,87.79,85.65,0.68524971
, 2020-10-07,,,54240704,88.72,85.95,1.815911928
, 2020-10-08,,,80354389,85.75,82.3465,1.935331603
, 2020-10-11,,,47669699,85.13,83.12,0.765092648
, 2020-10-12,,,42764096,86.09,83.9733,0.494932831
, 2020-10-13,,,40445635,85.96,83.46,1.921733054
, 2020-10-14,,,33696414,84.7201,82.42,0.323741007
, 2020-10-15,,,31474294,83.99,82.41,0.442901604
, 2020-10-18,,,36667614,84.65,81.53,1.937335566
, 2020-10-19,,,38190665,82.69,80.58,0.730282376
, 2020-10-20,,,36425409,81.9299,79.19,3.083700441
, 2020-10-21,,,38006798,80.82,78.42,0.28876334
, 2020-10-22,,,46557675,81.99,79.33,1.272704807
, 2020-10-25,,,69422075,84.97,80.86,0.387643852
, 2020-10-26,,,156669494,82.37,77.57,3.804878049
, 2020-10-27,,,76529910,78.96,75.76,2.959481773
, 2020-10-28,,,52784087,79.18,76.29,1.654723127
, 2020-10-29,,,51426174,77.7,74.23,2.334933195
, 2020-11-01,,,45760659,76.3398,73.7573,1.516150297
, 2020-11-02,,,41224110,77.08,74.6,2.202055252
, 2020-11-03,,,66579711,81.85,78.975,1.370716511
, 2020-11-04,,,46542267,83.5,81.85,0.324246427
, 2020-11-05,,,53755836,86.09,82.67,2.825670498
, 2020-11-08,,,58535684,87.05,82.77,1.329534663
, 2020-11-09,,,67137196,82.13,77.63,4.808983278
, 2020-11-10,,,44611250,81.47,78.97,2.380652475
, 2020-11-11,,,37303106,83,80.3,0.63944909
, 2020-11-12,,,30448461,83.11,80.7,1.571376768
, 2020-11-15,,,38640842,83.78,80.48,3.103066125
, 2020-11-16,,,29473512,84.81,82.91,0.6789007
, 2020-11-17,,,29967958,83.955,82.22,0.570389154
, 2020-11-18,,,50116759,85.64,81.72,3.823279524
, 2020-11-19,,,35008427,86.1,84.47,0.750469043
, 2020-11-22,,,46504964,87.54,84.615,0.245556595
, 2020-11-23,,,36839174,86.11,83.32,0.762334716
, 2020-11-24,,,41349727,87.84,85.52,1.107742537
, 2020-11-26,,,22717638,88,86.3598,0.909194227
, 2020-11-29,,,84482979,92.74,86.53,6.103286385
, 2020-11-30,,,58595527,93.9,90.78,0.411924119
, 2020-12-01,,,57988822,96.37,92.5253,0.915060825
, 2020-12-02,,,35859716,94.7,92.01,1.860514565
, 2020-12-03,,,44570273,94.58,90.63,1.577014474
, 2020-12-06,,,39215654,95,92.97,0.926803581
, 2020-12-07,,,33907510,94.74,91.9,1.20148857
, 2020-12-08,,,52170379,94.7,89.16,3.15868909
, 2020-12-09,,,33804212,92.09,89.0297,2.356225572
, 2020-12-10,,,28368145,92.33,90.16,0.120166048
, 2020-12-13,,,48026426,95.41,91.85,2.792690201
, 2020-12-14,,,57305100,97.98,95.45,1.240487856
, 2020-12-15,,,34909037,97.27,95.46,0.195795548
, 2020-12-16,,,31823734,97.92,96.25,0.727831881
, 2020-12-17,,,51823103,97.68,93.56,1.38788938
, 2020-12-20,,,47093891,95.28,91.08,1.082228117
, 2020-12-21,,,35665336,93.55,90.53,0.214224507
, 2020-12-22,,,25993348,93.13,91.46,1.643747314
, 2020-12-23,,,16705909,92.51,91.31,0.010893246
, 2020-12-27,,,30627297,93.14,90.82,1.431184763
, 2020-12-28,,,31748211,92.46,89.4301,1.134627973
, 2020-12-29,,,25844973,92.85,90.19,1.663361974
, 2020-12-30,,,24930684,92.3,90.87,0.423452769
, 2021-01-03,,,51802552,96.06,90.915,0.206275106
, 2021-01-04,,,34207989,93.2077,91.41,0.727470141
, 2021-01-05,,,51911657,92.28,89.46,1.407989522
, 2021-01-06,,,42849157,95.51,91.2,4.193583707
, 2021-01-07,,,39816400,96.4,93.27,1.458637216
, 2021-01-10,,,48669103,99.23,93.76,3.429938846
, 2021-01-11,,,67672311,98.97,94.07,2.559779277
, 2021-01-12,,,60712896,93.89,90.84,1.322438447
, 2021-01-13,,,53408241,92.36,90.45,1.067887109
, 2021-01-14,,,49340338,91.59,87.86,2.798898072
, 2021-01-18,,,44214605,89.58,87.24,0.122822689
, 2021-01-19,,,35185810,90.78,88.6,1.987852015
, 2021-01-20,,,54596079,92.07,88.43,2.451309604
, 2021-01-21,,,71294607,95.95,91.88,1.726329168
, 2021-01-24,,,55086943,95.74,91.4,0.010622477
, 2021-01-25,,,59424653,95.7171,93.63,0.210725951
, 2021-01-26,,,73337493,91.88,86.22,2.48079034
, 2021-01-27,,,47048362,89.88,87.3,2.57152399
, 2021-01-28,,,56735828,88.33,85.02,2.192782092
, 2021-01-31,,,42359344,87.95,84.66,0.955890821
, 2021-02-01,,,33849979,89.28,86.95,0.418126342
, 2021-02-02,,,31812885,89.48,87.34,0.801354402
, 2021-02-03,,,30773241,88.6,87.06,0.430741328
, 2021-02-04,,,30246177,88.36,86.875,0.283607487
, 2021-02-07,,,47639887,91.99,87.98,3.578303703
, 2021-02-08,,,37396446,93.3,90.55,0.525221578
, 2021-02-09,,,42441300,93.27,90.46,0.928961749
, 2021-02-10,,,35571025,93.65,91.33,0.258342304
, 2021-02-11,,,38538353,94.22,91.9,1.099730458
, 2021-02-15,,,35105917,94,90.7499,2.598509052
, 2021-02-16,,,32284075,90.96,88.5701,0.684628975
, 2021-02-17,,,35624948,89.6,87.31,0.505107195
, 2021-02-18,,,29548273,90.4163,88.69,0.189415042
, 2021-02-21,,,36930182,88.3,85.21,3.153715258
, 2021-02-22,,,49687314,85.11,79.36,1.606714628
, 2021-02-23,,,40821150,87.09,82.81,3.094983991
, 2021-02-24,,,54625140,87.09,81.92,4.351862597
, 2021-02-25,,,48958972,85.59,82.91,1.13085622
, 2021-02-28,,,32453631,86.5,83.97,1.200726293
, 2021-03-01,,,34828157,86.95,84.04,3.209848136
, 2021-03-02,,,43541041,84.38,80.85,4.057902231
, 2021-03-03,,,60549371,81.8067,76.78,3.09111305
, 2021-03-04,,,58188912,79.48,74.2,0.607594937
, 2021-03-07,,,54563874,79,73.86,5.215942586
, 2021-03-08,,,45088336,79.215,75.77,2.345888179
, 2021-03-09,,,45416616,80.04,77.41,2.796238245
, 2021-03-10,,,43568419,81.89,79.37,2.304785894
, 2021-03-11,,,32937950,81.19,79.23,1.655587608
, 2021-03-14,,,39355424,83.39,81.2,0.720302771
, 2021-03-15,,,42971552,84.75,82.255,1.087736075
, 2021-03-16,,,43320573,83.25,80.411,1.076452599
, 2021-03-17,,,51036502,81.62,78.01,3.620998088
, 2021-03-18,,,42283391,79.34,77.59,0.72620716
, 2021-03-21,,,39648614,81.265,79.22,0.387548444
, 2021-03-22,,,40351635,80.34,77.95,2.183951079
, 2021-03-23,,,43753642,78.8,76.4,1.379754997
, 2021-03-24,,,44705103,76.95,74.96,0.487804878
, 2021-03-25,,,47648659,77.4995,75.03,1.031062386
, 2021-03-28,,,37144298,78.02,76.26,0.142801506
, 2021-03-29,,,38143000,76.56,74.85,0.614620112
, 2021-03-30,,,42659455,79.13,76.52,2.520569414
, 2021-03-31,,,40182380,81.31,79.48,1.166489926
, 2021-04-04,,,32610554,81.9,80.39,0.379251285
, 2021-04-05,,,29327948,82.455,80.88,0.283216353
, 2021-04-06,,,35590925,83.1,80.35,1.082144614
, 2021-04-07,,,41425284,83.79,82.435,0.036005761
, 2021-04-08,,,32759867,83.59,82.16,0.048309179
, 2021-04-11,,,62098804,82.18,78.03,4.234964353
, 2021-04-12,,,37767257,80.72,78.98,0.652692356
, 2021-04-13,,,34263832,80.13,77.935,1.664997496
, 2021-04-14,,,68942819,83.95,79.97,3.349103586
, 2021-04-15,,,47280570,83.59,81.53,1.380552221
, 2021-04-18,,,38940461,83.18,80.39,1.24193352
, 2021-04-19,,,34977750,81.11,78.51,1.917842118
, 2021-04-20,,,34709955,81.66,78.86,3.316875554
, 2021-04-21,,,38776500,81.79,78.59,3.124617081
, 2021-04-22,,,49267281,83.3,79.96,3.179154719
, 2021-04-25,,,57594535,85.9,82.7,2.471505699
, 2021-04-26,,,61847615,87.15,85.13,0.536944088
, 2021-04-27,,,108420306,89.2,83.92,5.436128306
, 2021-04-28,,,51294528,85.27,82.63,0.93270366
, 2021-04-29,,,46601858,84.1,81.415,1.62709413
, 2021-05-02,,,66323268,82,78.46,4.172258143
, 2021-05-03,,,58544328,78.67,77.04,0.8466966
, 2021-05-04,,,42310154,79.3,77.36,1.543327008
, 2021-05-05,,,38661325,78.0599,76.47,0.334922066
, 2021-05-06,,,36948179,79.5718,78.22,0.076190476
, 2021-05-09,,,43105465,78.3,75.92,2.826086957
, 2021-05-10,,,51008239,76.93,72.75,4.431154003
, 2021-05-11,,,42531103,76.13,74.16,0.599280863
, 2021-05-12,,,48646754,75.7,72.5,2.818774099
, 2021-05-13,,,38347537,75.0274,72.72,0.770062145
, 2021-05-16,,,40779244,75.52,73.41,0.586134878
, 2021-05-17,,,31914482,75.7699,74.24,0.401391491
, 2021-05-18,,,72366162,76.97,72.76,4.196282121
, 2021-05-19,,,49135012,78.27,76.25,1.627392267
, 2021-05-20,,,40201088,78.81,77.04,1.756842775
, 2021-05-23,,,33194287,78.01,76.8,0.23297955
, 2021-05-24,,,47293101,78.77,76.8365,0.68537437
, 2021-05-25,,,30353997,78.59,77.59,0.655274316
, 2021-05-26,,,35864319,78.43,77.47,0.3968762
, 2021-05-27,,,40952663,81.09,78.66,1.805237732
, 2021-05-31,,,43433042,82.91,80.66,0.246883101
, 2021-06-01,,,35186724,82.6,80.66,1.197530864
, 2021-06-02,,,29800869,81.89,80.26,1.04770122
, 2021-06-03,,,26387799,82.19,80.81,0.815620366
, 2021-06-06,,,28993282,81.68,80.38,0.061425061
, 2021-06-07,,,26956625,82.645,80.45,1.197019665
, 2021-06-08,,,28454646,81.677,79.8,1.39351338
, 2021-06-09,,,28606356,81.71,79.7,1.92451887
, 2021-06-10,,,24310894,82.33,80.7,0.36760201
, 2021-06-13,,,27830243,81.55,80.2,0.049073733
, 2021-06-14,,,26194342,81.68,80.225,1.372717245
, 2021-06-15,,,29598309,81.45,78.96,0.792569659
, 2021-06-16,,,77791323,85.37,80.57,4.692336263
, 2021-06-17,,,58536805,85.77,83.48,0.439012814
, 2021-06-20,,,44417112,84.19,82.21,1.07797341
, 2021-06-21,,,32107700,84.04,82.48,0.82026538
, 2021-06-22,,,24484435,84.485,83.1603,0.011928904
, 2021-06-23,,,42217665,87.1399,84.365,2.026306434
, 2021-06-24,,,27804535,86.36,85.1,0.833912439
, 2021-06-27,,,30262042,88,86.15,0.810372771
, 2021-06-28,,,45811930,90.3,86.66,2.413911452
, 2021-06-29,,,70697525,94.335,90.6,3.424355869
, 2021-06-30,,,58059019,94.175,91.7,0.776265419
, 2021-07-01,,,51342975,95.27,92.205,1.522298456
, 2021-07-05,,,44930119,95.41,93.32,0.42687747
, 2021-07-06,,,51498481,95.44,90.31,4.714796885
, 2021-07-07,,,45660654,90.3399,87.45,2.139767812
, 2021-07-08,,,35246321,91.26,88.53,0.955131053
, 2021-07-11,,,28526559,91.9,89.65,0.449462837
, 2021-07-12,,,30367595,91.41,89.8299,0.243147657
, 2021-07-13,,,28108505,91.395,88.94,1.884089907
, 2021-07-14,,,38944741,89.78,86.1801,3.174426376
, 2021-07-15,,,35851920,88.03,85.68,1.637654604
, 2021-07-18,,,39244796,87.2294,84.24,1.87080833
, 2021-07-19,,,27900956,87.77,85.165,0.022964749
, 2021-07-20,,,29468164,89.49,86.9,2.475644699
, 2021-07-21,,,32730078,91.36,89.08,2.024608501
, 2021-07-22,,,31695777,92.37,90.19,0.877519475
, 2021-07-25,,,27668459,92.75,91.12,0.206499294
, 2021-07-26,,,68893021,94.1,89.1,2.055089305
, 2021-07-27,,,140498268,98.71,89.65,4.805222603
, 2021-07-28,,,163939113,105.74,96.58,6.595568441
, 2021-07-29,,,125632018,106.97,101.38,4.517716535
, 2021-08-01,,,115581854,110.33,103.83,2.548853016
, 2021-08-02,,,157723142,114.85,107.66,4.077669903
, 2021-08-03,,,225368699,122.49,114.16,3.856243442
, 2021-08-04,,,137860865,117.68,111.59,3.669724771
, 2021-08-05,,,143899026,116.2599,109.7,0.39800995
, 2021-08-08,,,115738243,112.33,107.06,3.351001707
, 2021-08-09,,,113012297,109.17,104.36,1.311460216
, 2021-08-10,,,91783349,109.79,105.62,0.074349442
, 2021-08-11,,,60590725,108.44,105.86,0.828755005
, 2021-08-12,,,100135745,111.71,106.57,3.153867687
, 2021-08-15,,,73398938,111.58,105.865,2.468239564
, 2021-08-16,,,74053905,108.7,105.35,0.859405402
, 2021-08-17,,,79373543,108.07,103.27,3.64229157
, 2021-08-18,,,71117494,106.18,101.975,0.37264676
, 2021-08-19,,,55227562,105.98,103.99,0.316334356
, 2021-08-22,,,68835281,109.02,104.86,3.300251674
, 2021-08-23,,,51239297,109.61,107.28,1.644586569
, 2021-08-24,,,45235044,109.91,107.45,0.157218163
, 2021-08-25,,,51442548,109.2299,106.84,1.197384176
, 2021-08-26,,,61027014,111.78,107.8,3.138598278
, 2021-08-29,,,56130467,114.4899,111.26,1.145546577
, 2021-08-30,,,49338955,111.26,109.0343,0.485349631
, 2021-08-31,,,38579559,111.85,109.85,1.176999102
, 2021-09-01,,,40102763,110.88,108.77,1.015228426
, 2021-09-02,,,42608980,111.17,108.5,0.983004134
, 2021-09-06,,,29133561,110.58,108.66,0.732117685
, 2021-09-07,,,43067911,109.3,105.52,2.488978692
, 2021-09-08,,,31848123,107.2953,105.84,0.38475976
, 2021-09-09,,,32602293,106.9913,104.98,1.673053556
, 2021-09-12,,,38282848,105.28,102.63,0.43701311
, 2021-09-13,,,41198020,106.82,104.42,0.199014405
, 2021-09-14,,,38484223,106.32,104.03,0.377358491
, 2021-09-15,,,38125269,106.75,103.76,1.24386408
, 2021-09-16,,,43403337,105.98,103.71,1.586850457
, 2021-09-19,,,45228411,102.51,99.51,0.029533373
, 2021-09-20,,,34431501,103.4299,101.18,0.655898189
, 2021-09-21,,,34126280,104.56,102.21,1.522151437
, 2021-09-22,,,32816657,106.86,103.89,1.201258461
, 2021-09-23,,,26482610,106.0499,104.68,0.584684128
, 2021-09-26,,,51940349,108.44,103.44,2.94579546
, 2021-09-27,,,74468968,107.65,101.42,4.974961389
, 2021-09-28,,,52203721,102.66,99.81,1.901363703
, 2021-09-29,,,58244761,104.44,101.99,0.803291536
, 2021-09-30,,,41491585,103,100.64,0.14619883
, 2021-10-03,,,41967149,101.85,99.82,1.377995321
, 2021-10-04,,,31207249,102.8699,100.6101,0.881886643
, 2021-10-05,,,39071703,103.72,100.35,3.180845239
, 2021-10-06,,,41543109,107.95,104.46,1.768642447
, 2021-10-07,,,31054371,107.28,104.89,1.398404505
, 2021-10-10,,,31284389,107.2,104.022,0.057350411
, 2021-10-11,,,34039906,106.04,104.34,0.118860838
, 2021-10-12,,,55631917,109.88,106.25,2.714655375
, 2021-10-13,,,46900157,112.22,109.6301,1.34841629
, 2021-10-14,,,34203008,112.835,111.11,0.342207013
, 2021-10-17,,,47537763,116.88,111.37,4.048257373
, 2021-10-18,,,39531438,117.17,114.47,0.146349862
, 2021-10-19,,,34244811,118.3001,115.421,0.085991917
, 2021-10-20,,,34794945,119.68,116.26,2.429184549
, 2021-10-21,,,38992694,121.56,118.37,0.831781502
, 2021-10-24,,,47830968,123.4599,118.6,1.53092976
, 2021-10-25,,,59458928,127.2,122.5782,0.048784454
, 2021-10-26,,,98245324,128.08,121.05,0.53440763
, 2021-10-27,,,58002459,123.5,120.26,1.379675227
, 2021-10-28,,,43320125,122.57,119.88,0.595287309
, 2021-10-31,,,54559780,125.67,118.1301,4.838844705
, 2021-11-01,,,53491937,128.455,124.2,2.120339254
, 2021-11-02,,,59537815,130.6,126.7901,2.176125245
, 2021-11-03,,,84820896,139,130.77,4.15877585
, 2021-11-04,,,64914097,141.22,134.42,2.044042102
, 2021-11-07,,,141493842,153.6,137.7,9.0486565
, 2021-11-08,,,98439077,155.65,143.89,3.304980196
, 2021-11-09,,,82986325,146.3,138.52,2.820815674
, 2021-11-10,,,67934845,146.47,140.84,2.13703613
, 2021-11-11,,,52162136,148.59,144.25,1.277178565
, 2021-11-14,,,52249771,148.98,142.86,1.02027027
, 2021-11-15,,,53100810,153.08,145.34,4.467895566
, 2021-11-16,,,54527482,154.6599,149.69,0.421108041
, 2021-11-17,,,60612733,158.89,152.56,1.30515057
, 2021-11-18,,,41505962,156.92,153.445,0.224704674
, 2021-11-21,,,58674078,161.8799,152.39,2.940053456
, 2021-11-22,,,62802705,152.66,145.2996,0.325776212
, 2021-11-23,,,60677062,157.93,147.19,5.580088318
, 2021-11-25,,,36245068,158.1,152.81,0.635430039
, 2021-11-28,,,57438867,162.505,156.1,2.8
, 2021-11-29,,,75182545,164.4599,155.6801,3.007104361
, 2021-11-30,,,64185119,160.88,148.92,7.021263329
, 2021-12-01,,,56161216,152.53,146.47,2.034873878
, 2021-12-02,,,65898833,152.38,140.72,5.034785189
, 2021-12-05,,,66776493,141.31,134.2,1.470223545
, 2021-12-06,,,53359432,145.76,141.0001,0.660180681
, 2021-12-07,,,40977478,147.04,142.7,0.193156733
